iter	RMSE
0	11508.41769
1	10959.59846
2	10464.62831
3	10004.62613
4	9583.060555
5	9195.52564
6	8770.546009
7	8369.205642
8	7998.665601
9	7671.828207
10	7367.04703
11	7090.818064
12	6839.568726
13	6618.448712
14	6416.862989
15	6218.741619
16	6042.460606
17	5883.860911
18	5736.746602
19	5604.127007
20	5490.125873
21	5382.195555
22	5290.018393
23	5206.846784
24	5130.080527
25	5056.964787
26	4991.977557
27	4934.724975
28	4884.056171
29	4839.129073
30	4797.5822
31	4758.653437
32	4724.026373
33	4686.782693
34	4649.863299
35	4614.87971
36	4585.833028
37	4557.964376
38	4535.514869
39	4514.594548
40	4492.372429
41	4474.074586
42	4457.666707
43	4444.919405
44	4428.900661
45	4412.938464
46	4401.270078
47	4389.126613
48	4371.787758
49	4359.028614
50	4346.116812
51	4337.438383
52	4328.499082
53	4314.572376
54	4299.131996
55	4279.864404
56	4255.024531
57	4239.679002
58	4224.805306
59	4205.773573
60	4182.356524
61	4167.843476
62	4159.041146
63	4149.4553
64	4142.335727
65	4132.189373
66	4118.507013
67	4107.30698
68	4095.234354
69	4084.213849
70	4075.99962
71	4067.975198
72	4059.173068
73	4048.823728
74	4039.774945
75	4028.904968
76	4020.416193
77	4014.168214
78	4006.48154
79	3992.323215
80	3978.606411
81	3973.97895
82	3965.589678
83	3960.802108
84	3950.858682
85	3945.656935
86	3935.330555
87	3931.202991
88	3926.165689
89	3920.968228
90	3911.867645
91	3898.846733
92	3892.313915
93	3886.841669
94	3878.099228
95	3871.354608
96	3868.415933
97	3864.613953
98	3860.516397
99	3856.94365
100	3849.059606
101	3846.042403
102	3837.969473
103	3832.696457
104	3829.407722
105	3823.800022
106	3817.521196
107	3810.067014
108	3802.152
109	3798.568876
110	3794.209041
111	3783.991259
112	3776.068712
113	3773.252077
114	3769.287761
115	3764.725403
116	3760.629448
117	3756.530636
118	3744.256235
119	3741.218209
120	3737.037244
121	3729.728824
122	3722.21401
123	3717.566249
124	3716.399677
125	3711.847964
126	3703.499172
127	3697.23271
128	3694.19903
129	3690.447765
130	3684.961604
