iter	Passed	Remaining
0	67	67123
1	71	35741
2	74	24886
3	79	19850
4	81	16296
5	85	14219
6	90	12840
7	94	11737
8	97	10758
9	101	10066
10	104	9395
11	107	8876
12	111	8498
13	115	8104
14	117	7705
15	120	7439
16	124	7195
17	127	6969
18	131	6766
19	134	6573
20	137	6404
21	150	6711
22	154	6577
23	158	6428
24	161	6305
25	165	6200
26	169	6110
27	173	6017
28	177	5931
29	181	5866
30	185	5807
31	190	5765
32	195	5716
33	198	5637
34	203	5603
35	207	5548
36	211	5497
37	215	5449
38	218	5389
39	222	5342
40	226	5300
41	230	5259
42	234	5229
43	238	5182
44	242	5139
45	245	5100
46	250	5087
47	254	5051
48	258	5023
49	263	5011
50	268	4996
51	272	4972
52	276	4947
53	281	4936
54	284	4896
55	289	4887
56	293	4859
57	297	4826
58	301	4804
59	304	4770
60	308	4752
61	313	4742
62	316	4711
63	320	4681
64	325	4680
65	329	4658
66	333	4637
67	336	4610
68	340	4589
69	343	4567
70	348	4556
71	355	4583
72	361	4592
73	366	4586
74	371	4577
75	376	4580
76	380	4562
77	384	4545
78	390	4552
79	395	4551
80	400	4542
81	404	4525
82	409	4519
83	413	4508
84	427	4603
85	433	4602
86	439	4607
87	443	4595
88	447	4576
89	453	4587
90	459	4593
91	466	4603
92	473	4613
93	479	4621
94	485	4622
95	491	4627
96	495	4614
97	499	4601
98	503	4583
99	508	4577
100	513	4570
101	518	4560
102	524	4566
103	529	4562
104	536	4570
105	540	4556
106	545	4554
107	550	4543
108	556	4552
109	561	4544
110	565	4528
111	570	4521
112	576	4525
113	580	4511
114	585	4506
115	590	4501
116	595	4492
117	599	4478
118	603	4469
119	607	4456
120	612	4448
121	615	4432
122	620	4422
123	624	4411
124	629	4405
125	634	4404
126	640	4403
127	646	4403
128	651	4397
129	655	4389
130	661	4388
131	665	4376
132	670	4370
133	674	4358
134	678	4349
135	683	4341
136	689	4342
137	693	4330
138	697	4322
139	701	4309
140	706	4303
141	710	4292
142	714	4280
143	719	4278
144	724	4271
145	728	4260
146	733	4255
147	738	4251
148	742	4239
149	746	4232
150	753	4236
151	758	4231
152	763	4226
153	768	4220
154	775	4227
155	781	4229
156	787	4227
157	793	4227
158	798	4225
159	802	4215
160	807	4209
161	813	4206
162	816	4194
163	821	4187
164	826	4180
165	831	4175
166	836	4171
167	841	4168
168	847	4166
169	851	4159
170	856	4151
171	863	4156
172	869	4156
173	873	4145
174	878	4143
175	883	4138
176	888	4133
177	893	4125
178	897	4115
179	902	4111
180	906	4103
181	912	4099
182	917	4097
183	923	4095
184	930	4097
185	935	4092
186	939	4085
187	946	4086
188	951	4081
189	955	4071
190	959	4064
191	965	4061
192	969	4054
193	974	4048
194	979	4045
195	985	4041
196	991	4040
197	997	4039
198	1002	4035
199	1006	4027
200	1011	4019
201	1016	4015
202	1021	4011
203	1027	4010
204	1031	4000
205	1036	3995
206	1041	3991
207	1048	3993
208	1053	3988
209	1059	3984
210	1065	3984
211	1070	3980
212	1076	3976
213	1080	3967
214	1085	3961
215	1090	3957
216	1094	3948
217	1098	3940
218	1103	3936
219	1109	3934
220	1114	3926
221	1118	3920
222	1123	3914
223	1127	3907
224	1133	3903
225	1137	3896
226	1142	3890
227	1147	3884
228	1151	3877
229	1155	3870
230	1162	3869
231	1167	3865
232	1173	3862
233	1179	3859
234	1184	3857
235	1190	3854
236	1194	3844
237	1199	3840
238	1203	3831
239	1209	3829
240	1214	3824
241	1218	3815
242	1223	3812
243	1228	3807
244	1233	3801
245	1241	3806
246	1246	3798
247	1251	3794
248	1255	3787
249	1260	3782
250	1266	3779
251	1271	3775
252	1276	3768
253	1281	3763
254	1287	3760
255	1291	3754
256	1296	3747
257	1302	3746
258	1308	3744
259	1313	3739
260	1318	3732
261	1322	3724
262	1328	3722
263	1333	3716
264	1338	3711
265	1342	3704
266	1345	3694
267	1351	3690
268	1356	3685
269	1360	3679
270	1364	3670
271	1369	3666
272	1373	3658
273	1381	3659
274	1385	3653
275	1389	3645
276	1394	3639
277	1398	3633
278	1403	3627
279	1409	3624
280	1415	3621
281	1421	3619
282	1427	3615
283	1432	3611
284	1438	3608
285	1444	3605
286	1449	3600
287	1455	3598
288	1461	3594
289	1465	3586
290	1470	3583
291	1474	3575
292	1479	3569
293	1484	3565
294	1490	3561
295	1495	3557
296	1500	3552
297	1507	3550
298	1511	3543
299	1516	3539
300	1523	3537
301	1528	3532
302	1532	3525
303	1537	3520
304	1543	3517
305	1547	3509
306	1551	3502
307	1555	3493
308	1558	3484
309	1563	3480
310	1568	3473
311	1573	3470
312	1577	3463
313	1581	3455
314	1585	3448
315	1591	3443
316	1595	3437
317	1601	3434
318	1605	3427
319	1610	3421
320	1615	3417
321	1621	3413
322	1625	3406
323	1631	3403
324	1635	3395
325	1639	3390
326	1645	3385
327	1650	3382
328	1657	3380
329	1664	3378
330	1669	3375
331	1675	3371
332	1680	3366
333	1685	3359
334	1690	3355
335	1695	3350
336	1699	3343
337	1705	3339
338	1711	3336
339	1716	3331
340	1721	3325
341	1725	3318
342	1730	3314
343	1738	3315
344	1744	3312
345	1749	3306
346	1753	3299
347	1758	3294
348	1763	3289
349	1768	3283
350	1772	3278
351	1777	3271
352	1782	3266
353	1785	3258
354	1791	3255
355	1797	3252
356	1802	3246
357	1808	3243
358	1814	3239
359	1820	3237
360	1826	3232
361	1831	3228
362	1837	3225
363	1844	3222
